time,open,high,low,close,Up Trend,Down Trend
2017-05-08,38099,38293,37720,38155,,44149.60709939289
2017-05-15,38231,39375,38231,39111,,44149.60709939289
2017-05-22,39177,40245,39123,40091,,44149.60709939289
2017-05-29,40101,40470,39333,40274,,44149.60709939289
2017-06-05,40357,40842,39558,39694,,44149.60709939289
2017-06-12,39551,39821,38430,38481,,44149.60709939289
2017-06-19,38423,38690,37811,38488,,43896.546509013715
2017-06-26,38130,39330,37925,38783,,43896.546509013715
2017-07-03,38738,38814,35980,36231,,43420.75607007417
2017-07-10,36226,37244,35460,36970,,42449.90566540256
2017-07-17,37198,38170,37060,38150,,42449.90566540256
2017-07-24,38150,38699,37652,38460,,42449.90566540256
2017-07-31,38442,38820,37052,37262,,42449.90566540256
2017-08-07,37117,39520,36935,39194,,42449.90566540256
2017-08-14,39186,39677,38305,39063,,42449.90566540256
2017-08-21,38887,39288,38313,39012,,42449.90566540256
2017-08-28,39090,40970,39060,40926,,42449.90566540256
2017-09-04,41237,41927,41160,41570,,42449.90566540256
2017-09-11,41250,41590,40731,40814,,42449.90566540256
2017-09-18,40667,40684,39515,39727,,42449.90566540256
2017-09-25,39601,40595,39309,39457,,42449.90566540256
2017-10-03,39314,39828,38710,39596,,42449.90566540256
2017-10-09,39939,40479,39782,40399,,42449.90566540256
2017-10-16,40404,40632,39624,39877,,42449.90566540256
2017-10-23,39750,40040,38925,39149,,42449.90566540256
2017-10-30,39124,39900,38688,39048,,42449.90566540256
2017-11-06,39133,40100,39124,39507,,42449.90566540256
2017-11-13,39551,40208,39445,40013,,42449.90566540256
2017-11-20,40051,40051,39162,39241,,42449.90566540256
2017-11-27,39426,39494,38127,38446,,42449.90566540256
2017-12-04,38400,38402,36872,37055,,42449.90566540256
2017-12-11,37081,37548,36672,37205,,42126.74220392319
2017-12-18,37340,38058,37276,37954,,42126.74220392319
2017-12-26,37980,39313,37980,39237,,42126.74220392319
2018-01-01,39089,39372,38900,39253,,42126.74220392319
2018-01-08,39245,39300,38666,39063,,42126.74220392319
2018-01-15,39325,39693,38573,38969,,42126.74220392319
2018-01-22,38883,40180,38402,39960,,42126.74220392319
2018-01-29,39850,39850,38475,38651,,42126.74220392319
2018-02-05,38480,39114,37540,37578,,42126.74220392319
2018-02-12,37785,38870,37777,38665,,42126.74220392319
2018-02-19,38557,38770,38087,38403,,42126.74220392319
2018-02-26,38576,39070,38060,38848,,42126.74220392319
2018-03-05,38918,39499,38550,38947,,42126.74220392319
2018-03-12,38925,39076,38171,38358,,42126.74220392319
2018-03-19,38294,38989,38101,38874,,42126.74220392319
2018-03-26,38844,39181,38180,38322,,42126.74220392319
2018-04-02,38378,39054,37940,38235,,42126.74220392319
2018-04-09,38359,39459,38191,38927,,42126.74220392319
2018-04-16,39039,40769,38855,40479,,42126.74220392319
2018-04-23,40287,40345,38975,39004,,42126.74220392319
2018-04-30,39602,39870,38886,39734,,42126.74220392319
2018-05-07,39866,40710,39530,40541,,42126.74220392319
2018-05-14,40440,40531,39604,40195,,42126.74220392319
2018-05-21,40178,40916,39890,40267,,42126.74220392319
2018-05-28,40203,40220,39482,39537,,42126.74220392319
2018-06-04,39543,40714,39461,40412,,42126.74220392319
2018-06-11,40650,41698,40141,40199,,42126.74220392319
2018-06-18,40175,40332,39391,39796,,42126.74220392319
2018-06-25,39700,40019,39027,39921,,42126.74220392319
2018-07-02,39800,40050,39269,39766,,42126.74220392319
2018-07-09,39908,40170,38833,39046,,42126.74220392319
2018-07-16,39124,39238,37873,38457,,42126.74220392319
2018-07-23,38420,38691,38003,38326,,42126.74220392319
2018-07-30,38250,38437,37736,38072,,42126.74220392319
2018-08-06,38099,38186,37774,37968,,42126.74220392319
2018-08-13,38040,38159,36423,36778,,41668.62613764423
2018-08-20,36920,37172,36534,37004,,41108.91772846794
2018-08-27,37020,38030,36950,37482,,41108.91772846794
2018-09-03,37450,37650,36641,37167,,41108.91772846794
2018-09-10,37195,37527,36910,36993,,41108.91772846794
2018-09-17,37200,37845,37136,37590,,41108.91772846794
2018-09-24,37489,38634,37375,38577,,41108.91772846794
2018-10-01,38500,39360,38055,39274,,41108.91772846794
2018-10-08,39100,39100,38336,38918,,41108.91772846794
2018-10-15,39050,39444,38525,38796,,41108.91772846794
2018-10-22,38841,39268,38571,38712,,41108.91772846794
2018-10-29,38819,38972,38001,38620,,41108.91772846794
2018-11-05,38547,38720,36689,36880,,41108.91772846794
2018-11-12,37010,37155,36036,36991,,40925.08291030702
2018-11-19,37006,37090,35776,36061,,40824.34404961989
2018-11-26,36263,36890,35704,36025,,40711.854446311896
2018-12-03,36605,38000,36531,37972,,40711.854446311896
2018-12-10,37907,38660,37700,38054,,40711.854446311896
2018-12-17,37965,38208,37185,37256,,40711.854446311896
2018-12-24,37325,38880,37305,38706,,40711.854446311896
2018-12-31,38798,39670,38550,39173,,40711.854446311896
2019-01-07,39224,39761,38889,39336,,40711.854446311896
2019-01-14,39305,39770,39107,39198,,40711.854446311896
2019-01-21,39155,39700,38733,39670,,40711.854446311896
2019-01-28,39885,40786,39665,40576,,40711.854446311896
2019-02-04,40505,40716,39725,40105,,40711.854446311896
2019-02-11,40011,40049,39256,39962,,40711.854446311896
2019-02-18,40080,40938,40038,40268,,40711.854446311896
2019-02-25,40270,40888,38984,39035,,40711.854446311896
2019-03-04,38827,38932,37889,38728,,40711.854446311896
2019-03-11,38664,38950,37900,38087,,40711.854446311896
2019-03-18,38000,38547,37750,38362,,40711.854446311896
2019-03-25,38410,38622,37279,37761,,40711.854446311896
2019-04-01,37807,37836,37000,37519,,40711.854446311896
2019-04-08,37690,38150,36889,37220,,40711.854446311896
2019-04-15,37130,37469,36891,37230,,40711.854446311896
2019-04-22,37325,38281,36830,38112,,40711.854446311896
2019-04-30,37933,37933,36620,37391,,40711.854446311896
