time,open,high,low,close,Up Trend,Down Trend
2017-07-31,28473,28814,28325,28406,,30249.42839022153
2017-08-07,28389,29295,28300,29203,,30249.42839022153
2017-08-14,29114,29443,28800,29163,,30249.42839022153
2017-08-21,29125,29314,28777,29167,,30249.42839022153
2017-08-28,29195,29937,29173,29823,,30249.42839022153
2017-09-04,30011,30474,29955,30268,27756.2654530284,
2017-09-11,30200,30200,29765,29856,27756.2654530284,
2017-09-18,29820,29820,29443,29585,27756.2654530284,
2017-09-25,29510,30169,29510,29706,27756.2654530284,
2017-10-03,29705,29705,29312,29573,27756.2654530284,
2017-10-09,29698,29900,29664,29851,27756.2654530284,
2017-10-16,29839,29955,29522,29554,27756.2654530284,
2017-10-23,29500,29591,29209,29318,27756.2654530284,
2017-10-30,29295,29410,29069,29088,27756.2654530284,
2017-11-06,29200,29696,29109,29491,27756.2654530284,
2017-11-13,29482,29745,29351,29690,27756.2654530284,
2017-11-20,29646,29725,29276,29380,27756.2654530284,
2017-11-27,29430,29533,29117,29395,27756.2654530284,
2017-12-04,29270,29270,28471,28533,27756.2654530284,
2017-12-11,28535,28535,28055,28254,27756.2654530284,
2017-12-18,28358,28666,28291,28653,27756.2654530284,
2017-12-26,28676,29175,28676,29156,27756.2654530284,
2018-01-01,29160,29284,29061,29217,27756.2654530284,
2018-01-08,29193,29580,29121,29547,27756.2654530284,
2018-01-15,29600,29850,29550,29755,27756.2654530284,
2018-01-22,29699,30464,29699,30361,28038.272846456515,
2018-01-29,30150,30639,29920,30336,28180.75465669275,
2018-02-05,30250,30714,29805,30009,28180.75465669275,
2018-02-12,30118,30839,30030,30816,28180.75465669275,
2018-02-19,30763,30792,30387,30509,28351.007193471083,
2018-02-26,30526,30644,30119,30448,28351.007193471083,
2018-03-05,30460,30687,30280,30401,28351.007193471083,
2018-03-12,30403,30546,30145,30224,28351.007193471083,
2018-03-19,30180,30950,30095,30907,28351.007193471083,
2018-03-26,30855,30929,30378,30408,28420.73471910636,
2018-04-02,30650,31120,30500,30694,28536.219071165935,
2018-04-09,30659,31562,30642,31118,28734.471133088206,
2018-04-16,31200,31620,31155,31432,29043.93972421566,
2018-04-23,31370,31430,31126,31211,29043.93972421566,
2018-04-30,31170,31170,30865,31114,29043.93972421566,
2018-05-07,31150,31570,31078,31518,29130.200475036374,
2018-05-14,31450,31579,30851,31091,29130.200475036374,
2018-05-21,31040,31510,30912,31189,29130.200475036374,
2018-05-28,31150,31406,30875,30909,29130.200475036374,
2018-06-04,30900,31334,30825,31215,29130.200475036374,
2018-06-11,31186,31424,30958,31010,29130.200475036374,
2018-06-18,30975,31098,30515,30610,29130.200475036374,
2018-06-25,30655,30738,30356,30432,29130.200475036374,
2018-07-02,30399,30737,30244,30560,29130.200475036374,
2018-07-09,30611,30778,30014,30105,29130.200475036374,
2018-07-16,30177,30225,29638,29920,29130.200475036374,
2018-07-23,29921,29988,29652,29780,29130.200475036374,
2018-07-30,29705,29939,29528,29671,29130.200475036374,
2018-08-06,29690,29815,29546,29783,29130.200475036374,
2018-08-13,29826,29893,29268,29349,29130.200475036374,
2018-08-20,29465,29967,29423,29903,29130.200475036374,
2018-08-27,29910,30359,29883,30129,29130.200475036374,
2018-09-03,30100,30700,30070,30494,29130.200475036374,
2018-09-10,30569,30765,30370,30436,29130.200475036374,
2018-09-17,30558,30928,30485,30582,29130.200475036374,
2018-09-24,30613,30892,30220,30481,29130.200475036374,
2018-10-01,30751,31670,30683,31643,29130.200475036374,
2018-10-08,31531,32014,31202,31846,29245.152901299538,
2018-10-15,31900,32311,31783,31902,29700.8760412129,
2018-10-22,31880,32280,31785,31937,29710.78430513204,
2018-10-29,31903,32020,31600,31750,29710.78430513204,
2018-11-05,31736,31876,30942,31016,29710.78430513204,
2018-11-12,31100,31169,30605,31007,29710.78430513204,
2018-11-19,31010,31040,30412,30495,29710.78430513204,
2018-11-26,30471,30661,30180,30244,29710.78430513204,
2018-12-03,30316,32021,30316,31595,29710.78430513204,
2018-12-10,31647,32118,31486,31553,29710.78430513204,
2018-12-17,31496,31639,31002,31193,29710.78430513204,
2018-12-24,31300,31768,31270,31598,29710.78430513204,
2018-12-31,31571,31938,31300,31456,29710.78430513204,
2019-01-07,31529,32135,31448,31928,29710.78430513204,
2019-01-14,31989,32390,31975,32091,29710.78430513204,
2019-01-21,32044,32382,31957,32343,29710.78430513204,
2019-01-28,32340,33445,32340,33416,30247.354032820876,
2019-02-04,33548,33646,33011,33242,30690.36376396615,
2019-02-11,33200,33410,32805,33384,30690.36376396615,
2019-02-18,33450,34031,33330,33517,31044.879101054958,
2019-02-25,33511,33617,32600,32640,31044.879101054958,
2019-03-04,32550,32550,31777,32167,31044.879101054958,
2019-03-11,32124,32319,31742,31826,31044.879101054958,
2019-03-18,31750,32165,31553,32140,31044.879101054958,
2019-03-25,32150,32246,31500,31734,31044.879101054958,
2019-04-01,31695,31894,31510,31873,31044.879101054958,
2019-04-08,31900,32293,31734,31862,31044.879101054958,
2019-04-15,31800,31874,31403,31463,31044.879101054958,
2019-04-22,31550,32025,31450,31939,31044.879101054958,
2019-04-30,31909,31909,31240,31447,31044.879101054958,
2019-05-06,31500,32050,31471,31904,31044.879101054958,
2019-05-13,31987,32538,31755,31791,31044.879101054958,
2019-05-20,31679,31735,31232,31530,31044.879101054958,
2019-05-27,31555,32294,31485,32266,31044.879101054958,
2019-06-03,32348,33040,32257,32936,31044.879101054958,
2019-06-10,32850,33344,32486,33045,31044.879101054958,
2019-06-17,33059,34468,32886,34167,31044.879101054958,
2019-06-24,34290,34893,34030,34206,31475.329349240612,
2019-07-01,34138,35100,33620,34583,31475.329349240612,
2019-07-08,34550,35145,34340,34905,31558.191344227376,
2019-07-15,34897,35409,34682,35036,31879.611921278884,
2019-07-22,35109,35206,34723,34773,31880.87112652696,
2019-07-29,34750,36327,34291,36271,31888.01305142516,
2019-08-05,36650,38488,36630,37992,33774.87884799682,
2019-08-12,38257,38666,37344,37938,34120.620258130366,
2019-08-19,37737,38821,37605,38765,34263.312240921674,
2019-08-26,39134,39425,38611,38656,35114.558091526895,
2019-09-02,38859,39885,38376,38553,35114.558091526895,
2019-09-09,38553,38697,37449,37524,35114.558091526895,
2019-09-16,37774,38215,37438,37697,35114.558091526895,
2019-09-23,37800,38194,37310,37750,35114.558091526895,
2019-09-30,37895,38650,37206,38333,35114.558091526895,
2019-10-07,38410,38599,37691,37845,35114.558091526895,
2019-10-14,37894,38425,37771,38089,35114.558091526895,
2019-10-22,37883,38618,37822,38293,35114.558091526895,
2019-10-28,38283,38603,37801,38310,35114.558091526895,
2019-11-04,38391,38510,37477,37687,35114.558091526895,
2019-11-11,37687,38318,37510,37994,35114.558091526895,
2019-11-18,37918,38330,37791,37895,35114.558091526895,
2019-11-25,37935,38114,37482,38031,35114.558091526895,
2019-12-02,37928,38467,37655,37699,35114.558091526895,
2019-12-09,37679,38068,37466,37773,35114.558091526895,
2019-12-16,37725,38130,37725,37991,35114.558091526895,
2019-12-23,38040,39095,38040,39080,35114.558091526895,
