time,open,high,low,close
2025-07-07T14:15:00+05:30,25536.5,25550.1,25511.5,25535
2025-07-07T15:15:00+05:30,25534.7,25545.3,25533.5,25541.1
2025-07-08T09:15:00+05:30,25530,25577.6,25499.4,25532
2025-07-08T10:15:00+05:30,25532,25549.3,25520,25528
2025-07-08T11:15:00+05:30,25525,25544.7,25523.3,25540
2025-07-08T12:15:00+05:30,25542.1,25572.8,25540,25561
2025-07-08T13:15:00+05:30,25565,25570,25550,25557.9
2025-07-08T14:15:00+05:30,25555.6,25631.5,25545.7,25626.7
2025-07-08T15:15:00+05:30,25629.9,25635,25613.3,25623
2025-07-09T09:15:00+05:30,25592.9,25625,25561.6,25624.4
2025-07-09T10:15:00+05:30,25624.5,25633.2,25610,25628.9
2025-07-09T11:15:00+05:30,25629,25646,25604.5,25628
2025-07-09T12:15:00+05:30,25629,25634,25594.3,25618
2025-07-09T13:15:00+05:30,25614.4,25628.3,25609,25618.5
2025-07-09T14:15:00+05:30,25619.8,25624.8,25522.8,25561.4
2025-07-09T15:15:00+05:30,25563.4,25567.6,25547,25547
2025-07-10T09:15:00+05:30,25590.8,25595.2,25467,25478.3
2025-07-10T10:15:00+05:30,25476.9,25496,25440.2,25458.5
2025-07-10T11:15:00+05:30,25460.9,25465,25425.2,25436.1
2025-07-10T12:15:00+05:30,25436,25478,25433.5,25451
2025-07-10T13:15:00+05:30,25455,25495,25420.2,25461.8
2025-07-10T14:15:00+05:30,25461,25482.4,25412,25425
2025-07-10T15:15:00+05:30,25429.5,25430,25411.2,25414
2025-07-11T09:15:00+05:30,25335,25384,25315,25324.9
2025-07-11T10:15:00+05:30,25324.8,25327.6,25214,25240
2025-07-11T11:15:00+05:30,25243,25250.7,25206.1,25235.1
2025-07-11T12:15:00+05:30,25237.9,25261.7,25212,25224.8
2025-07-11T13:15:00+05:30,25225.1,25250,25214.4,25238
2025-07-11T14:15:00+05:30,25238,25247.8,25220,25222
2025-07-11T15:15:00+05:30,25222,25230,25205,25208
2025-07-14T09:15:00+05:30,25234.8,25234.8,25100,25184.1
2025-07-14T10:15:00+05:30,25189,25193.8,25127,25133.9
2025-07-14T11:15:00+05:30,25133.9,25137.1,25088,25113.5
2025-07-14T12:15:00+05:30,25113.9,25124.7,25076.3,25088.5
2025-07-14T13:15:00+05:30,25090,25129,25085.4,25113
2025-07-14T14:15:00+05:30,25113,25191,25106.8,25163.2
2025-07-14T15:15:00+05:30,25164,25175,25160.7,25172
2025-07-15T09:15:00+05:30,25180,25220,25152.1,25190
2025-07-15T10:15:00+05:30,25188,25306,25168,25295
2025-07-15T11:15:00+05:30,25295,25302.3,25268,25275.2
2025-07-15T12:15:00+05:30,25275.2,25293.9,25252,25265.6
2025-07-15T13:15:00+05:30,25269.6,25270,25222.6,25240.9
2025-07-15T14:15:00+05:30,25244.9,25263.9,25222.1,25260.4
2025-07-15T15:15:00+05:30,25260,25288.1,25255.7,25280
2025-07-16T09:15:00+05:30,25230,25249.8,25173.9,25187.6
2025-07-16T10:15:00+05:30,25185,25200.3,25162.1,25189.5
2025-07-16T11:15:00+05:30,25188.3,25239.8,25171,25225
2025-07-16T12:15:00+05:30,25222,25268,25210.2,25258.5
2025-07-16T13:15:00+05:30,25259,25285.7,25225,25280
2025-07-16T14:15:00+05:30,25280,25289.9,25241.2,25241.3
2025-07-16T15:15:00+05:30,25244.5,25254,25234.5,25243.9
2025-07-17T09:15:00+05:30,25260,25275,25196,25197.9
2025-07-17T10:15:00+05:30,25198.5,25233.2,25179.7,25224
2025-07-17T11:15:00+05:30,25223.6,25250,25211,25235
2025-07-17T12:15:00+05:30,25233,25254.6,25216,25220
2025-07-17T13:15:00+05:30,25221.4,25239,25195.4,25210
2025-07-17T14:15:00+05:30,25206,25214.4,25165,25181
2025-07-17T15:15:00+05:30,25184,25185,25165,25173.8
2025-07-18T09:15:00+05:30,25167.9,25170,25070,25077.4
2025-07-18T10:15:00+05:30,25071.2,25076.1,24981,25014.6
2025-07-18T11:15:00+05:30,25014.8,25035,24986.3,24994.2
2025-07-18T12:15:00+05:30,24995.1,25040,24982.3,25013.8
2025-07-18T13:15:00+05:30,25018.1,25042.5,24998.9,25030
2025-07-18T14:15:00+05:30,25029,25060,25015.1,25030
2025-07-18T15:15:00+05:30,25031.8,25040,25026,25027
2025-07-21T09:15:00+05:30,24969.2,25122,24920.6,25099
2025-07-21T10:15:00+05:30,25094.8,25129,25078.5,25116.5
2025-07-21T11:15:00+05:30,25115,25118,25056.5,25094.3
2025-07-21T12:15:00+05:30,25094.3,25108.4,25067.3,25093
2025-07-21T13:15:00+05:30,25093.1,25100,25040.1,25070
2025-07-21T14:15:00+05:30,25067.6,25134.8,25056,25122
2025-07-21T15:15:00+05:30,25124,25139.7,25118.2,25139.7
2025-07-22T09:15:00+05:30,25149.9,25200,25115,25140
2025-07-22T10:15:00+05:30,25138.4,25152,25080,25095.5
2025-07-22T11:15:00+05:30,25095,25117.9,25070,25100.9
2025-07-22T12:15:00+05:30,25105,25148,25101,25123.2
2025-07-22T13:15:00+05:30,25118.4,25137.6,25104.9,25116.6
2025-07-22T14:15:00+05:30,25116.6,25123,25079.9,25090.6
2025-07-22T15:15:00+05:30,25090.7,25105,25090.7,25095
2025-07-23T09:15:00+05:30,25170.2,25174.9,25112.3,25138.9
2025-07-23T10:15:00+05:30,25138.9,25180.5,25125,25167
2025-07-23T11:15:00+05:30,25167.4,25199.9,25150,25194
2025-07-23T12:15:00+05:30,25195,25229,25193.6,25201
