time,open,high,low,close,Volume
2020-02-24,48607,49516,48520,49405,35286
2020-02-25,48666,48800,47351,47567,35233
2020-02-26,46550,47379,46348,46576,28539
2020-02-27,46899,47184,46064,46180,20029
2020-02-28,46529,46529,43957,44403,42229
2020-03-02,45200,45440,44765,44995,28569
2020-03-03,45177,46850,45075,46378,30988
2020-03-04,46346,46890,46225,46683,20614
2020-03-05,46563,47431,46260,47372,20923
2020-03-06,47300,47870,46462,46969,34956
2020-03-09,47041,47077,45200,46711,36171
2020-03-10,46678,46790,45847,46122,11265
2020-03-11,46155,46552,45719,45826,17479
2020-03-12,45556,45846,42917,44139,39081
2020-03-13,43280,43542,40400,40487,43184
2020-03-16,40962,41099,33756,36207,73363
2020-03-17,36057,36850,34300,35453,50542
2020-03-18,35700,36486,33580,33907,48449
2020-03-19,34572,35260,33711,35102,25467
2020-03-20,35931,37098,35428,35843,27348
2020-03-23,36409,38099,35700,37912,19281
2020-03-24,38208,40722,37900,40524,24648
2020-03-25,40540,41920,40422,41706,13822
2020-03-26,40994,41900,40550,41322,12970
2020-03-27,41346,41592,40372,40894,12002
2020-03-30,40000,40000,39300,39798,6685
2020-03-31,40050,40210,39365,39523,5872
2020-04-01,39599,40050,39451,39872,7633
2020-04-03,40955,41383,40820,41223,7099
2020-04-07,42871,43987,42871,43494,9783
2020-04-08,42950,43265,42708,43139,5167
2020-04-09,43003,43582,42871,43502,5553
2020-04-13,43587,44049,43551,43756,6560
2020-04-15,44432,44584,43294,44031,10377
2020-04-16,43661,44329,43467,44255,7157
2020-04-17,43456,43651,42506,42806,9868
2020-04-20,43133,43133,42545,42737,7319
2020-04-21,42958,43120,41500,41748,12983
2020-04-22,41800,41828,40775,41686,11639
2020-04-23,42400,42842,41702,41806,18036
2020-04-24,41823,42380,41390,42051,17802
2020-04-27,42228,42488,41652,41957,16172
2020-04-28,41565,41820,41150,41712,13491
2020-04-29,42486,42840,42203,42362,13404
2020-04-30,42695,43280,41001,41390,29460
2020-05-01,41522,41775,41160,41597,11968
2020-05-04,41728,41950,41101,41244,17234
2020-05-05,41244,41950,40951,41896,18488
2020-05-06,42290,42375,41685,41845,16386
2020-05-07,41840,43188,41726,43123,21462
2020-05-08,43133,43800,42872,43293,27055
2020-05-11,43347,43634,42852,43230,19967
2020-05-12,43252,43453,42931,43054,18723
2020-05-13,43015,43399,42739,42965,21646
2020-05-14,43177,44247,42984,44135,25200
2020-05-15,44499,46855,44499,46718,35842
2020-05-18,47190,49178,46822,47698,43414
2020-05-19,47799,49000,47340,48821,27581
2020-05-20,48970,49499,48411,49058,30940
2020-05-21,48202,48723,47111,47335,34765
2020-05-22,47227,48466,47052,48338,29771
2020-05-25,48171,48338,47671,48257,10238
2020-05-26,48689,48997,47676,47821,30087
2020-05-27,47667,48490,46958,48390,35742
2020-05-28,48400,49000,48250,48558,30172
2020-05-29,48710,50174,48452,50118,32889
2020-06-01,50587,51065,49764,50611,35362
2020-06-02,51235,51235,48683,49080,34385
2020-06-03,48904,49435,47730,48454,35995
2020-06-04,48359,49060,48028,48811,32166
2020-06-05,48474,48630,47079,47351,34098
2020-06-08,47652,48340,47652,48185,27952
2020-06-09,48100,48485,47800,48099,25833
2020-06-10,48127,49039,47862,48084,32101
2020-06-11,48770,49600,48309,48639,41676
2020-06-12,48040,48418,47500,47690,28933
2020-06-15,47533,47550,46436,47393,37160
2020-06-16,47642,48420,47450,48330,32325
2020-06-17,48049,48492,47839,48436,20394
2020-06-18,48151,48678,47567,47861,29160
2020-06-19,47870,48999,47732,48636,31970
2020-06-22,49088,49261,48380,48500,29089
2020-06-23,48440,48835,48080,48784,29853
2020-06-24,48713,48932,46833,47786,47284
2020-06-25,48050,48190,47306,48116,29067
2020-06-26,48154,48639,47418,48365,31623
