time,open,high,low,close,Volume
2021-04-28,26.2491,26.307,25.8349,26.209,0
2021-04-29,26.1977,26.473,25.7085,26.0905,0
2021-04-30,26.073,26.192,25.7998,25.894,0
2021-05-03,25.894,26.989,25.8055,26.873,0
2021-05-04,26.887,27.113,26.095,26.461,0
2021-05-05,26.473,26.619,26.1124,26.4424,0
2021-05-06,26.468,27.457,26.1745,27.2997,0
2021-05-07,27.2977,27.6692,27.1435,27.4331,0
2021-05-10,27.406,27.876,27.2375,27.254,0
2021-05-11,27.3017,27.664,27.1065,27.608,0
2021-05-12,27.617,27.69,26.9535,27.0098,0
2021-05-13,27.01,27.237,26.7265,27.078,0
2021-05-14,27.0497,27.482,26.827,27.4063,0
2021-05-17,27.396,28.286,27.355,28.179,0
2021-05-18,28.1637,28.745,28.013,28.1766,0
2021-05-19,28.171,28.232,27.372,27.7217,0
2021-05-20,27.719,27.999,27.408,27.741,0
2021-05-21,27.751,28.065,27.206,27.529,0
2021-05-24,27.529,27.901,27.467,27.729,0
2021-05-25,27.729,28.031,27.473,27.9529,0
2021-05-26,27.947,28.228,27.606,27.663,0
2021-05-27,27.647,27.883,27.504,27.859,0
2021-05-28,27.8409,27.97,27.403,27.908,0
2021-06-01,28.0506,28.553,27.832,27.863,0
2021-06-02,27.865,28.185,27.697,28.139,0
2021-06-03,28.141,28.231,27.041,27.421,0
2021-06-04,27.4336,27.846,27.237,27.792,0
2021-06-07,27.792,27.949,27.483,27.8586,0
2021-06-08,27.85,27.972,27.512,27.603,0
2021-06-09,27.6,27.999,27.526,27.749,0
2021-06-10,27.7457,28.03,27.474,27.977,0
2021-06-11,27.977,28.281,27.889,27.889,0
2021-06-14,27.89,28.018,27.48,27.833,0
2021-06-15,27.833,27.886,27.402,27.637,0
2021-06-16,27.637,27.829,26.6274,26.908,0
2021-06-17,26.909,27.244,25.778,25.878,0
2021-06-18,25.869,26.491,25.764,25.779,0
2021-06-21,25.779,26.078,25.556,25.925,0
2021-06-22,25.933,26.035,25.696,25.73,0
2021-06-23,25.728,26.289,25.728,25.848,0
2021-06-24,25.85,26.165,25.826,25.9082,0
2021-06-25,25.94,26.295,25.923,26.077,0
2021-06-28,26.077,26.219,25.8,26.058,0
2021-06-29,26.065,26.112,25.529,25.745,0
2021-06-30,25.756,26.145,25.709,26.117,0
2021-07-01,26.1,26.4,25.954,25.9997,0
2021-07-02,26.01,26.564,25.989,26.459,0
2021-07-06,26.4326,26.773,26.013,26.14,0
2021-07-07,26.126,26.434,25.99,26.139,0
2021-07-08,26.1567,26.21,25.81,25.9066,0
2021-07-09,25.922,26.207,25.771,26.099,0
2021-07-12,26.099,26.28,25.876,26.2008,0
2021-07-13,26.201,26.345,25.943,25.964,0
2021-07-14,25.964,26.464,25.95,26.23,0
2021-07-15,26.2007,26.395,26.165,26.32,0
2021-07-16,26.3021,26.447,25.602,25.655,0
2021-07-19,25.655,25.758,25.001,25.166,0
2021-07-20,25.1636,25.272,24.817,24.92,0
2021-07-21,24.901,25.308,24.763,25.256,0
2021-07-22,25.209,25.455,25.018,25.4,0
2021-07-23,25.399,25.468,25.007,25.161,0
2021-07-26,25.144,25.433,25.13,25.186,0
2021-07-27,25.1558,25.262,24.5,24.669,0
2021-07-28,24.67,25.012,24.624,24.958,0
2021-07-29,24.9452,25.798,24.9452,25.5,0
2021-07-30,25.491,25.636,25.348,25.454,0
2021-08-02,25.45,25.632,25.306,25.3822,0
2021-08-03,25.369,25.599,25.253,25.484,0
2021-08-04,25.497,26.002,25.332,25.36,0
2021-08-05,25.363,25.505,25.09,25.13,0
2021-08-06,25.1357,25.198,24.201,24.31,0
2021-08-09,24.298,24.3618,22.3916,23.4358,0
2021-08-10,23.426,23.668,23.241,23.321,0
2021-08-11,23.311,23.586,23.217,23.5336,0
2021-08-12,23.499,23.549,23.012,23.158,0
2021-08-13,23.169,23.831,23.169,23.711,0
2021-08-16,23.711,23.897,23.429,23.8388,0
2021-08-17,23.842,23.954,23.577,23.6625,0
2021-08-18,23.6558,23.823,23.296,23.5036,0
2021-08-19,23.513,23.535,23.102,23.2018,0
2021-08-20,23.2008,23.322,22.881,23.013,0
2021-08-23,23.013,23.69,22.982,23.592,0
2021-08-24,23.58,23.95,23.543,23.823,0
2021-08-25,23.813,23.889,23.586,23.8332,0
2021-08-26,23.8332,23.869,23.441,23.549,0
2021-08-27,23.55,24.114,23.35,23.989,0
2021-08-30,23.989,24.212,23.921,23.9948,0
2021-08-31,23.9918,24.204,23.811,23.8648,0
2021-09-01,23.8668,24.263,23.761,24.1068,0
