time,open,high,low,close,Up Trend,Down Trend
2019-02-01,33108,34031,32805,32981,,34500.72043158526
2019-03-01,32950,33007,31500,31734,,34500.72043158526
2019-04-01,31695,32293,31403,31756,,34500.72043158526
2019-05-01,31713,32538,31232,32266,,34500.72043158526
2019-06-03,32348,34893,32257,34206,,34500.72043158526
2019-07-01,34138,35523,33620,35419,28678.313032164715,
2019-08-01,35250,39425,35025,38656,30551.3588300204,
2019-09-02,38859,39885,37280,37323,31659.10157468571,
2019-10-01,37321,38650,37206,38578,31659.10157468571,
2019-11-01,38500,38546,37477,38031,31659.10157468571,
2019-12-02,37928,39270,37466,39108,31659.10157468571,
2020-01-01,39108,41293,38957,41052,33230.52537467903,
2020-02-03,41079,43788,39900,41397,34372.357016367096,
2020-03-02,41738,44961,38400,42956,34372.357016367096,
2020-04-01,42700,47327,42622,44906,35578.24211203534,
2020-05-01,45008,47980,44750,46654,36733.82597123298,
2020-06-01,46571,48825,45421,48762,37226.17090648412,
2020-07-01,48814,53700,47606,53445,39790.892846051844,
2020-08-03,53564,56191,49955,51701,41272.099989648385,
2020-09-01,52000,52182,49248,50334,41272.099989648385,
2020-10-01,50330,51454,49880,50699,41272.099989648385,
2020-11-02,50777,52520,47550,47792,41272.099989648385,
2020-12-01,48097,51009,47771,50151,41272.099989648385,
2021-01-01,50180,51875,48511,49096,41272.099989648385,
2021-02-01,49370,49400,45611,45736,41272.099989648385,
2021-03-01,46000,46139,44108,44935,41272.099989648385,
2021-04-01,44911,48429,44911,46737,41272.099989648385,
2021-05-03,46921,49220,46650,48821,41272.099989648385,
2021-06-01,49461,49721,46330,46839,41272.099989648385,
2021-07-01,46930,48501,46903,47846,41272.099989648385,
2021-08-02,47951,48358,45662,47120,41272.099989648385,
2021-09-01,47129,47598,45511,46521,41272.099989648385,
2021-10-01,46507,48299,46282,47635,41272.099989648385,
2021-11-01,47615,49610,46872,47805,41272.099989648385,
2021-12-01,47799,48785,47350,48099,41272.099989648385,
2022-01-03,48050,48912,47300,47686,41272.099989648385,
2022-02-01,47677,52797,47555,50760,41272.099989648385,
2022-03-01,51200,55558,50354,52166,41272.099989648385,
2022-04-01,51936,53663,50828,51754,41272.099989648385,
2022-05-02,51270,51557,49572,50847,41272.099989648385,
2022-06-01,50700,51797,50151,50517,41272.099989648385,
2022-07-01,51000,52300,49703,51426,41272.099989648385,
2022-08-01,51250,52620,50333,50414,41272.099989648385,
2022-09-01,50202,50780,48951,50194,41272.099989648385,
2022-10-03,50300,52120,49808,50322,41272.099989648385,
2022-11-01,50351,53200,50000,52931,41272.099989648385,
2022-12-01,53040,55365,53040,55017,43378.12723320743,
2023-01-02,55052,57200,55040,57190,45435.118750993606,
2023-02-01,57150,58847,55132,55756,46026.27750092736,
2023-03-01,55760,60455,54771,59612,46026.27750092736,
2023-04-03,59304,61371,59240,59919,48772.36395636339,
2023-05-01,59867,61845,59225,60198,49072.07302593917,
2023-06-01,60115,60377,57651,58211,49072.07302593917,
2023-07-03,58154,59984,57971,59568,49072.07302593917,
2023-08-01,59863,59930,58275,59374,49072.07302593917,
2023-09-01,59296,59665,57026,57600,49072.07302593917,
2023-10-03,57426,61539,56421,60940,49072.07302593917,
2023-11-01,60820,62842,59490,62640,49526.950282134465,
2023-12-01,62786,64063,61001,63203,50852.35359665883,
2024-01-01,63225,63653,61454,62735,51066.09669021491,
2024-02-01,62639,63230,61190,62567,51066.09669021491,
2024-03-01,62567,67850,62403,67677,53159.428672364986,
2024-04-01,68699,73958,68021,70415,58145.30009420733,
2024-05-01,70452,74442,70082,71834,59111.413421260164,
2024-06-03,71467,73516,70751,71582,59122.28585984282,
2024-07-01,71606,74731,67400,69655,59122.28585984282,
2024-08-01,69994,72272,68379,71611,59122.28585984282,
2024-09-02,71512,76120,70913,75617,59122.28585984282,
2024-10-01,75535,79775,74757,78430,62264.78047588586,
2024-11-01,78849,78950,73300,76374,62264.78047588586,
2024-12-02,76345,79120,75459,76748,62264.78047588586,
2025-01-01,76772,82299,76563,81888,63481.19662987579,
2025-02-01,81907,86592,81639,84219,67908.21685455074,
2025-03-03,84511,90284,84511,90120,70653.36906424735,
2025-04-01,91316,99358,86710,94702,74033.3444599642,
2025-05-01,93444,97559,90890,94644,74712.15482929992,
2025-06-02,96131,101078,94951,96075,78087.2445073466,
2025-07-01,96471,100555,95802,98769,78312.26154019016,
2025-08-01,98702,104090,98292,103824,81103.04410417748,
2025-09-01,104044,117788,104044,117265,88443.50783056565,
2025-10-01,117630,132294,116780,121232,99425.60730852795,
2025-11-03,121435,127941,119150,126883,99425.60730852795,
2025-12-01,127895,140465,127100,135447,106097.83792209545,
2026-01-01,135299,180779,135080,149653,119904.08206062243,
2026-02-01,145164,162589,136185,162104,119904.08206062243,
2026-03-02,165501,169880,129595,139405,119904.08206062243,
